Ranking,Nome,Categoria,Lançamento,Pontuação G3D,Pontuação G2D,Preço,Interface,Tdp,Clock GPU (MHz),Clock Memória (MHz),Tamanho Memória
16,RTX PRO 5000 Blackwell,Desktop,Sep 2025,"31,567","1,194","$4,799.99",NA,NA,NA,NA,NA
17,Radeon RX 7900 XTX,Desktop,Dec 2022,"31,383","1,284","$1,199.99",PCIe 4.0 x16,355,1855 MHz,1855 MHz,24576 MB
18,GeForce RTX 5090 D v2,Desktop,Sep 2025,"31,108","1,297",NA,NA,NA,NA,NA,NA
19,GeForce RTX 4090 D,Unknown,Mar 2024,"30,628",985,NA,NA,NA,NA,NA,NA
20,RTX 5000 Ada Generation,Unknown,Oct 2023,"30,313","1,006",NA,NA,NA,NA,NA,NA
21,GeForce RTX 4070 SUPER,Desktop,Jan 2024,"29,970","1,193",$898.99,PCIe 4.0 x16,220,1980 MHz,1980 MHz,12288 MB
22,GeForce RTX 3090 Ti,Desktop,Mar 2022,"29,316","1,227","$2,095.00",PCIe 4.0 x16,450,1560 MHz,1560 MHz,24576 MB
23,Radeon RX 7900 XT,Desktop,Dec 2022,"29,002","1,240",$699.99,PCIe 4.0 x16,315,2000 MHz,2000 MHz,20480 MB
24,GeForce RTX 5070,Desktop,Mar 2025,"28,778","1,302",$649.99,PCIe 5.0 x16,250,2330 MHz,2330 MHz,12288 MB
25,RTX 6000 Ada Generation,Unknown,Mar 2023,"28,640","1,007",NA,NA,NA,NA,NA,NA
26,GeForce RTX 5090 Laptop GPU,Mobile,Feb 2025,"28,464","1,090",NA,PCIe 5.0 x16,150,990 MHz,990 MHz,24576 MB
27,RTX PRO 4000 Blackwell,Desktop,Sep 2025,"28,443","1,243",NA,NA,NA,NA,NA,NA
28,RTX 4500 Ada Generation,Unknown,Nov 2023,"28,203","1,181",NA,NA,NA,NA,NA,NA
29,Radeon RX 6950 XT,Desktop,May 2022,"28,092","1,078","$1,190.00",PCIe 4.0 x16,335,1925 MHz,1925 MHz,16384 MB
30,Radeon PRO W7900,Unknown,May 2023,"27,803","1,147",NA,NA,NA,NA,NA,NA
31,RTX PRO 6000 Blackwell Server Edition,Desktop,Sep 2025,"27,523",954,NA,NA,NA,NA,NA,NA
32,Radeon PRO W7800,Unknown,Jun 2023,"27,503","1,188",NA,NA,NA,NA,NA,NA
33,Radeon AI PRO R9700,Desktop,Aug 2025,"27,411","1,260",NA,NA,NA,NA,NA,NA
34,nVidia L40,Unknown,Jul 2023,"27,355","1,186",NA,NA,NA,NA,NA,NA
35,Radeon RX 7900 GRE,Desktop,Aug 2023,"27,332","1,205",$539.99*,PCIe 4.0 x16,260,1287 MHz,1287 MHz,16384 MB
36,GeForce RTX 4090 Laptop GPU,Mobile,Feb 2023,"27,053",988,NA,PCIe 4.0 x16,150,1455 MHz,1455 MHz,16384 MB
37,GeForce RTX 4070,Desktop,Apr 2023,"26,921","1,168",$688.58,PCIe 4.0 x16,200,1920 MHz,1920 MHz,12288 MB
38,Radeon RX 9070 XT,Desktop,Mar 2025,"26,902","1,319",$739.99,PCIe 5.0 x16,304,1660 MHz,1660 MHz,16384 MB
39,GeForce RTX 3080 Ti,Desktop,Jun 2021,"26,781","1,095",$899.99,PCIe 4.0 x16,350,1370 MHz,NA,12288 MB
40,Radeon RX 6900 XT,Desktop,Dec 2020,"26,695","1,062",$689.99,PCIe 4.0 x16,300,1825 MHz,1825 MHz,16384 MB
41,GeForce RTX 3080 12GB,Desktop,Jan 2022,"26,571","1,095",NA,PCIe 4.0 x16,350,1260 MHz,NA,12288 MB
42,GeForce RTX 3090,Desktop,Sep 2020,"26,559","1,069","$1,499.95",PCIe 4.0 x16,350,1400 MHz,1400 MHz,24576 MB
43,GeForce RTX 5080 Laptop GPU,Mobile,Mar 2025,"26,529","1,094",NA,PCIe 5.0 x16,150,975 MHz,975 MHz,16384 MB
44,AicUsbDisplay Device,Desktop,Mar 2026,"25,879","1,367",NA,NA,NA,NA,NA,NA
