Ranking,Nome,Categoria,Lançamento,Pontuação (Multi),Pontuação (Single),Preço,Socket,Tdp,cpuCounts,Núcleos,Threads,Clock Base (MHz),Clock Turbo (MHz)
1340,Intel Core i7-10700TE @ 2.00GHz,Laptop,Feb 2021,"13,505","2,562",$330.00*,FCLGA1200,35,1,8,2,2000,4400
1341,Intel Core i9-9880H @ 2.30GHz,Laptop,May 2019,"13,490","2,454",$556.00*,FCBGA1440,45,1,8,2,2300,4800
1342,Intel Xeon E5-2658 v3 @ 2.20GHz,Server,Oct 2015,"13,487","1,711",NA,LGA2011-v3,105,1,12,2,2200,2900
1343,Intel Xeon E5-2670 v3 @ 2.30GHz,Server,Aug 2014,"13,474","1,688",$109.95*,LGA2011-v3,120,1,12,2,2300,3100
502,Intel Xeon E5-2630 v2 @ 2.60GHz,Server,Jul 2013,"13,473","1,576",$224.00*,FCLGA2011,80,2,6,2,2600,3100
503,Intel Xeon E5-2640 v2 @ 2.00GHz,Server,Feb 2014,"13,412","1,215",$130.00*,LGA 2011,95,2,8,2,2000,2500
1344,Intel Xeon Silver 4215 @ 2.50GHz,Server,Jun 2019,"13,353","1,868",$543.84*,FCLGA3647,85,1,8,2,2500,3500
1346,AMD Ryzen 5 PRO 2600,Desktop,Aug 2018,"13,320","2,269",NA,AM4,65,1,6,2,3400,3900
1345,Intel Xeon E5-2695 v2 @ 2.40GHz,Server,Dec 2013,"13,320","1,607",$69.00*,LGA 2011,115,1,12,2,2400,3200
1347,QTI SM8850,Mobile/Embedded,Oct 2025,"13,308","2,632",NA,Unknown,NA,1,8,1,4608,NA
1348,Intel Xeon E5-2690 v2 @ 3.00GHz,Server,Jul 2013,"13,305","1,859",$198.95*,FCLGA2011,130,1,10,2,3000,3600
1349,Intel Xeon E5-1680 v3 @ 3.20GHz,Server,Mar 2015,"13,302","2,124",$398.95*,LGA2011-v3,140,1,8,2,3200,3800
1350,Intel Core Ultra 5 134U,Laptop,May 2024,"13,279","3,156",$332.00*,FCBGA2551,30,1,2,2,700,4400
1351,Intel Core i7-1260U,Laptop,Sep 2022,"13,256","3,038",NA,FCBGA1781,9,1,2,2,1000,4700
1352,Intel Xeon E5-1660 v4 @ 3.20GHz,Server,Oct 2016,"13,247","2,178",$352.36*,FCLGA2011-3,140,1,8,2,3200,3800
1353,Intel Xeon E-2146G @ 3.50GHz,Server,Aug 2018,"13,240","2,652",$495.64*,FCLGA1151-2,80,1,6,2,3500,4500
504,AMD Opteron 6378,Server,Feb 2015,"13,236","1,065","$1,556.00*",G34,115,4,8,2,2400,3300
1354,AMD Ryzen 3 PRO 8300G,Desktop,Apr 2024,"13,231","3,518",$423.00*,AM5,65,1,4,2,3600,4900
505,AMD Ryzen 9 5950X,Desktop,Oct 2020,"13,220","2,972","$1,740.15*",AM4,105,5,16,2,3400,4900
1355,Intel Xeon E5-2650 v4 @ 2.20GHz,Server,Jun 2016,"13,219","1,680",$29.99*,FCLGA2011-3,105,1,12,2,2200,2900
506,Intel Xeon E5-2637 v3 @ 3.50GHz,Server,Oct 2014,"13,208","2,067",$459.90*,LGA2011-v3,135,2,4,2,3500,3700
1356,Intel Core i7-9700 @ 3.00GHz,Desktop,Jun 2019,"13,193","2,747",$182.78,FCLGA1151-2,65,1,8,1,3000,4700
